day,dt,D1,G1,H1,B2,C2,F2,A3,E3,G3,B4,C5,E5,F5,F6,G6,H6,C7 ,E7,F7,G7 ,A8 ,D9,F11,H11,A12,B12,D12,B1,E1,G1,A2,E2,H2,E3,F3,A4,C4,E4,A5,B5,C5,H5,B6,D6,E6,F6,A7,D7,F7,G7,B8,C8,F8,G8,B9,C9,G9,B10,C11,D11,A12,D12,E12
1,2,,1,1,1,1,,1,1,,,1,,1,,2,2,1,,,1,2,1,,,1,,1,,3,,,,1,2,2,1,1,,,,,,2,,1,1,2,,,2,1,1,1,2,1,1,1,1,2,1,,1,
2,4,,2,1,4,,,1,4,,,,,4,,4,2,4,,,4,5,1,,,3,,2,,4,,,,,2,4,1,1,,,,,,4,,3,2,4,,,5,3,2,2,4,1,3,1,4,4,4,,,
3,8,9,2,1,7,4,5,1,5,4,13,4,6,8,6,8,5,5,5,3,7,10,1,9,3,2,4,4,6,7,4,3,4,4,4,8,1,3,7,5,4,4,9,14,4,7,4,7,4,6,7,8,4,4,8,2,,1,6,4,6,4,4,4
4,16,12,2,1,14,13,15,4,16,4,30,12,17,14,16,14,7,12,16,2,14,11,1,28,5,0,6,6,11,7,3,7,8,6,8,15,1,4,15,9,8,4,12,22,7,15,8,10,5,3,14,16,4,3,16,5,15,0,12,12,12,0,4,4
5,32,16,3,7,26,29,30,5,31,11,60,30,34,45,45,32,14,26,33,7,33,19,0,60,4,,6,5,18,8,4,9,34,8,13,34,1,13,35,18,20,4,18,58,30,36,15,17,18,4,40,30,15,17,65,12,35,,28,20,29,,10,2
6,64,22,3,0,57,50,85,2,96,22,140,60,130,96,110,100,26,70,80,14,100,23,,113,3,,6,5,18,32,4,12,57,8,25,70,1,25,80,28,40,4,24,115,70,100,35,16,23,5,85,56,37,30,123,23,82,,70,37,64,,7,0
7,128,21,2,,140,135,200,10,170,44,250,240,220,230,240,150,46,230,150,20,180,20,,300,2,,9,6,20,8,6,16,110,10,40,180,0,52,160,44,110,4,47,260,200,280,77,19,32,2,200,145,79,53,300,68,260,,200,74,160,,7,
8,256,24,1,,180,200,320,1,330,70,460,320,440,510,350,300,80,340,320,25,320,25,,,2,,9,11,14,5,4,17,340,8,67,440,,85,400,65,170,5,60,380,360,400,160,20,40,2,440,260,200,100,600,110,500,,400,110,300,,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,428,389,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,